index	gdp	population
AD	3297847263.52589	77870.75
AE	374911095983.662	9223731.5
AF	20047031650.7005	34170156.75
AG	1303768837.86243	100443.25
AI	14764	14764
AL	13310359539.9499	2879841.25
AM	11617197289.0253	2919609
AN	304759	158641.5
AO	102889523313.457	28344356.75
AR	451835591772.677	43629437.75
AS	532863436.123348	55553.5
AT	419106215684.308	8683733.75
AU	1329822206846.05	24041166
AW	2560070664.54358	104555.5
AX	29489	29489
AZ	57964169581.8706	9701165.25
BA	18655630798.4018	3531449
BB	4662836064.81651	284579.25
BD	162847600483.921	162056869
BE	511956947372.855	11296685.75
BF	12120385533.4787	18384104
BG	55793928523.0811	7151435.5
BH	31368591225.0589	1406501.75
BI	2340349321.60969	10369855.5
BJ	9016625351.30916	10727663.5
BM		65290
BN	13533198484.6361	420284.75
BO	26194758635.9187	10806586.5
BR	2324469001225.31	206779096
BS	10442650202.2513	388900
BT	2146988909.18967	792302.25
BW	16663992976.5202	2229922.75
BY	62317253680.8017	9493384
BZ	1576611672.20747	363154.25
CA	1824718425893.06	36085137
CD	31504137615.2603	77498905
CF	1463819954.20976	4578798.25
CG	14206000394.0988	5063330
CH	637558616443.521	8327600
CI	35333221817.8899	23407622.75
CK	17459	17459
CL	265737276408.443	17835239.75
CM	34201277118.0614	23141835.5
CN	9226939345380.12	1375137500
CO	362433347833.581	48434910.5
CR	45633202691.9467	4832117.5
CU	73604604243.4841	11465454.25
CV	1848281572.58754	536324.5
CY	24344725165.5629	1165742.5
CZ	228055083580.956	10557265.25
DE	3750773848016.04	81928195
DJ		934724
DK	344771629112.343	5706142.75
DM	490306660.441792	73352
DO	71082928971.6908	10587506.75
DZ	191966972648.797	40227258.75
EC	86372961794.69	16264351.5
EE	23760917085.4261	1315305.5
EG	255481599587.587	94708142.5
EH	538755	538755
ER	4954645	4954645
ES	1440700645879.75	46495451
ET	50702634430.3955	101150110.25
FI	251631375720.472	5486912.25
FJ	3765085403.30269	895554.25
FK	3398	3398
FM	296414357.960857	104732.25
FO		49053.5
FR	2795009966510.46	66721968.5
GA	18570615679.5633	1952702.75
GB	2728254732228.4	65339964.75
GD	913047503.11143	107081.25
GE	15059401157.5238	3720125
GF	296711	296711
GG	63026	63026
GH	46740390097.3526	27896435.25
GI		34311.25
GL	2686948430.26736	56191.5
GM	1056708191.96528	2008627.75
GN	9199477617.37498	12252535.5
GP	394110	394110
GQ	15978777187.7974	1198498
GR	245784996722.286	10812422
GT	50509752952.1543	16417990
GU	5210652786.31428	162472.25
GW	1030533052.76833	1793312.75
GY	2878559222.83412	770767.25
HK	268264801792.868	7312275
HN	19252137070.7053	9036994.75
HR	60471670992.9831	4185510.5
HT	7854848285.87245	10778022.5
HU	145884441652.687	9826161.5
ID	1014659149965.93	259600016
IE	314632057765.48	4732160
IL	282506584332.507	8463550
IM	6963981979.8357	83445.25
IN	2382089495165.99	1316566188.75
IO	2500	2500
IQ	198495370161.443	36649729.75
IR		
IS	15854550362.864	333731
IT	2074742928711.2	60674659
JE		164145.5
JM	13724573540.5674	2876418.75
JO	30484395553.8752	9281690.75
JP	6030432922278.6	127049327
KE	53840731002.0245	47855484.5
KG	6230812268.79039	6018350
KH	16489632669.885	15639042
KI	190322946.309726	113414.5
KM	1067088780.33147	786580.5
KN	894124762.348403	54548.25
KO	1958080	1958080
KP	515320008963.409	52553957.5
KR	1288753577882.14	51118378.5
KW	139183443824.145	3976839
KY		60364.75
KZ	188662743592.45	17665698
LA	10753433767.3811	6714219.25
LB	42323409606.0365	5885945.75
LC	1481047201.36042	177621.5
LI		37529.5
LK	77943937492.2339	21096000
LR	2550749974.63563	4559021.75
LS	2897632200.53865	2189397.5
LT	45426528757.8027	2883307.25
LU	62198817932.9385	576846.5
LV	28684098136.0426	1967896.5
LY	40713432683.7324	6276733
MA	113963450055.859	35034442.5
MC	7110596026.49007	38408.25
MD	7286248974.98357	3553052.25
ME	4611290515.8578	622185.75
MG	10181312851.0856	24572333.75
MH	179135639.854811	53021.25
MK	2103721	2103721
ML	13056659010.3492	17741892
MM	72510185774.6021	52645920.75
MN	11837137288.8254	3000954.5
MO	35002642067.5205	606114.25
MP	988836848.635236	54862.75
MQ	376480	376480
MR	5541909137.04029	4241865.75
MS	4490	4490
MT	11516589403.9735	450064.75
MU	12210873658.1204	1262906.25
MV	3576284794.77034	422684
MW	8633841240.12288	17839031
MX	1237527323728.36	126704062
MY	338371286206.575	30940675.25
MZ	14494327454.662	28430345.75
NA	14642717488.3995	2452515
NC		274365
NE	7935925806.06699	20298879.75
NF	1748	1748
NG	458449669013.099	183629549.25
NI	11704681605.7552	6115885.25
NL	882736446708.902	16992024.75
NO	470222674715.29	5211053.25
NP	20067338048.2278	28816823
NR	120527836.250389	12756.5
NU	1624	1624
NZ	172700709890.088	4648125
OM	72280305786.736	4305439.75
PA	43802686935.8186	4001485.25
PE	189730160903.461	31572337.25
PF		279097.25
PG	19062806796.737	8002940.75
PH	276149450442.632	102514230
PK	222708675445.475	191286550.25
PL	566551795603.011	37986018.75
PN	50	50
PR	94637370944.4073	3437937
PS	11501890274.8464	4488292
PT	230430990819.13	10344577
PW	219363517.365992	21403.5
PY	33985893563.8415	6682077
QA	168103679582.599	2516243.25
RE	866506	866506
RO	198937828350.55	19753332.75
RS	40863277365.3043	7076637.25
RU	1674758364928.02	144188494
RW	8520428013.42254	11775206.25
SA	676228416200	31886941.5
SB	887706069.340908	593437
SC	1262230132.90339	93824.5
SD	74405345321.6552	39124468.5
SE	548940996729.228	9871531.25
SG	296773799046.571	5556065.5
SH	4534	4534
SI	50101935885.1488	2064325.25
SK	102945790240.906	5428285
SL	3500111675.43007	7317397.25
SM	1754398526.72719	33055
SN	20873788048.8626	15196321.5
SO		14120443.25
SR	4662084027.0926	555726.5
SS		12054887.75
ST	251891080.894889	197764
SV	21320172652.743	6329060.5
SZ	5279021195.31799	1331115
TC		34606
TD	12880267310.7774	14232847
TF	250	250
TG	4724215305.67401	7512446.25
TH	401639765549.034	68743849.75
TJ	8233823966.64648	8641922.5
TL	3513359207.00105	1254693.25
TM	38482996621.7901	5613036
TN	48515893530.809	11338236
TO	398823867.2094	106822
TR	1110473333476.45	78889886.5
TT	21989659013.7134	1362168
TV	38159303.350158	11049.5
TW	23577271	23577271
TZ	45373640078.4115	54749261.5
UA	126748261001.059	45065445
UG	26829925211.0284	40832282.75
US	16776716346600	322196869.25
UY	48238400042.99	3437963.5
UZ	59963659409.8917	31572925
VA	1000	1000
VC	724657816.360696	109588
VE	421393747431.435	31359689
VG		30389.5
VI	3173680264.08866	107593
VN	159683060312.627	94056588.5
VU	772358551.244447	267524.75
WF	11899	11899
WS	716167743.382572	194403.5
XK	6998096397.92228	1817625
YE	23336158692.7421	27249291.75
YT	256518	256518
ZA	420145794885.96	55640856.25
ZM	26592853494.8198	16351770.25
ZW	17240587700.9942	15967348
